timestamp_utc,state,completed,running,pending,errors,mean,free_gib
2026-08-18T01:39:16Z,stopped,0,0,0,0,,13.55
2026-08-18T01:40:16Z,running,0,1,9,0,,13.54
2026-08-18T01:41:16Z,running,0,1,9,0,,13.52
2026-08-18T01:42:16Z,running,0,1,9,0,,13.52
2026-08-18T01:43:17Z,running,0,1,9,0,,13.52
2026-08-18T01:44:17Z,running,0,1,9,0,,13.52
2026-08-18T01:45:17Z,running,0,1,9,0,,13.49
2026-08-18T01:46:17Z,running,1,1,8,0,0,13.48
2026-08-18T01:47:17Z,running,1,1,8,0,0,13.38
2026-08-18T01:48:17Z,running,2,1,7,0,0,13.29
2026-08-18T01:49:17Z,running,2,1,7,0,0,13.27
2026-08-18T01:50:17Z,running,2,1,7,0,0,13.27
2026-08-18T01:51:17Z,running,2,1,7,0,0,13.27
2026-08-18T01:52:17Z,running,2,1,7,0,0,13.26
2026-08-18T01:53:17Z,running,2,1,7,0,0,13.25
2026-08-18T01:54:17Z,running,3,1,6,0,0,13.22
2026-08-18T01:55:17Z,running,3,1,6,0,0,13.22
2026-08-18T01:56:17Z,running,3,1,6,0,0,13.21
2026-08-18T01:57:17Z,running,3,1,6,0,0,13.21
2026-08-18T01:58:18Z,running,3,1,6,0,0,13.22
2026-08-18T01:59:18Z,running,3,1,6,0,0,13.21
2026-08-18T02:00:18Z,running,4,1,5,0,0,13.18
2026-08-18T02:01:18Z,running,4,1,5,0,0,13.17
2026-08-18T02:02:18Z,running,4,1,5,0,0,13.16
2026-08-18T02:03:18Z,running,4,1,5,0,0,13.14
2026-08-18T02:04:18Z,running,4,1,5,0,0,13.13
2026-08-18T02:05:18Z,running,5,1,4,0,0,12.65
2026-08-18T02:06:18Z,running,5,1,4,0,0,12.61
2026-08-18T02:07:18Z,running,5,1,4,0,0,12.60
2026-08-18T02:08:18Z,running,5,1,4,0,0,12.60
2026-08-18T02:09:18Z,running,5,1,4,0,0,12.59
2026-08-18T02:10:18Z,running,5,1,4,0,0,12.58
2026-08-18T02:11:18Z,running,5,1,4,0,0,12.58
2026-08-18T02:12:19Z,running,5,1,4,0,0,12.56
2026-08-18T02:13:19Z,running,5,1,4,0,0,12.55
2026-08-18T02:14:19Z,running,5,1,4,0,0,12.53
2026-08-18T02:15:19Z,running,5,1,4,0,0,12.51
2026-08-18T02:16:19Z,running,5,1,4,0,0,12.50
2026-08-18T02:17:19Z,running,6,1,3,0,0,12.43
2026-08-18T02:18:19Z,running,6,1,3,0,0,12.39
2026-08-18T02:19:19Z,running,6,1,3,0,0,12.42
2026-08-18T02:20:19Z,running,6,1,3,0,0,12.42
2026-08-18T02:21:19Z,running,6,1,3,0,0,12.41
2026-08-18T02:22:19Z,running,6,1,3,0,0,12.40
2026-08-18T02:23:20Z,running,6,1,3,0,0,12.40
2026-08-18T02:24:20Z,running,6,1,3,0,0,12.40
2026-08-18T02:25:20Z,running,6,1,3,0,0,12.40
2026-08-18T02:26:20Z,running,6,1,3,0,0,12.39
2026-08-18T02:27:20Z,running,6,1,3,0,0,12.36
2026-08-18T02:28:20Z,running,7,1,2,0,0,12.25
2026-08-18T02:29:20Z,running,7,1,2,0,0,12.26
2026-08-18T02:30:20Z,running,7,1,2,0,0,12.27
2026-08-18T02:31:20Z,running,7,1,2,0,0,12.26
2026-08-18T02:32:20Z,running,7,1,2,0,0,12.24
2026-08-18T02:33:20Z,running,8,1,1,0,0,12.11
2026-08-18T02:34:20Z,running,8,1,1,0,0,12.11
2026-08-18T02:35:20Z,running,8,1,1,0,0,12.11
2026-08-18T02:36:21Z,running,9,1,0,0,0,12.12
2026-08-18T02:37:21Z,running,9,1,0,0,0,12.09
2026-08-18T02:38:21Z,running,9,1,0,0,0,12.08
2026-08-18T02:39:21Z,running,9,1,0,0,0,12.08
2026-08-18T02:40:21Z,running,9,1,0,0,0,12.10
2026-08-18T02:41:21Z,running,9,1,0,0,0,12.07
2026-08-18T02:42:21Z,running,9,1,0,0,0,12.06
2026-08-18T02:43:21Z,running,9,1,0,0,0,12.05
2026-08-18T02:44:21Z,stopped,10,0,0,0,0,12.03
